Timestamp;SOL - Solignano Ulia: 268.34 cm
2023-01-13 04:00:45;256.91
2023-01-13 04:15:45;256.88
2023-01-13 04:30:45;256.31
2023-01-13 04:45:45;253.19
2023-01-13 05:00:45;254.88
2023-01-13 05:15:45;256.44
2023-01-13 05:30:45;256.41
2023-01-13 05:45:45;256.38
2023-01-13 06:00:45;256.34
2023-01-13 06:15:45;256.47
2023-01-13 06:30:45;256.81
2023-01-13 06:45:45;255.66
2023-01-13 07:00:45;254.19
2023-01-13 07:15:45;252.25
2023-01-13 07:30:45;252.69
2023-01-13 07:45:45;252.81
2023-01-13 08:00:45;252.78
2023-01-13 08:15:45;254.53
2023-01-13 08:30:45;255.03
2023-01-13 08:45:45;255.59
2023-01-13 09:00:45;255.88
2023-01-13 09:15:45;255.5
2023-01-13 09:30:45;255.06
2023-01-13 09:45:45;255.06
2023-01-13 10:00:45;254.47
2023-01-13 10:15:45;253.81
2023-01-13 10:30:45;254.59
2023-01-13 10:45:45;254.06
2023-01-13 11:00:45;253.63
2023-01-13 11:15:45;254.09
2023-01-13 11:30:45;254.09
2023-01-13 11:45:45;254.53
2023-01-13 12:00:45;253.53
2023-01-13 12:15:45;254.13
2023-01-13 12:30:45;254.09
2023-01-13 12:45:45;254.28
2023-01-13 13:00:45;254.03
2023-01-13 13:15:45;253.06
2023-01-13 13:30:45;253.06
2023-01-13 13:45:45;253.28
2023-01-13 14:00:45;253.25
2023-01-13 14:15:45;253.31
2023-01-13 14:30:45;253.06
2023-01-13 14:45:45;253.63
2023-01-13 15:00:45;253.84
2023-01-13 15:15:45;253.63
2023-01-13 15:30:45;253.88
2023-01-13 15:45:45;253.81
2023-01-13 16:00:45;254.0
2023-01-13 16:15:45;254.19
2023-01-13 16:30:45;255.63
2023-01-13 16:45:45;256.03
2023-01-13 17:00:45;255.75
2023-01-13 17:15:45;256.66
2023-01-13 17:30:45;256.66
2023-01-13 17:45:45;255.31
2023-01-13 18:00:45;254.91
2023-01-13 18:15:45;252.97
2023-01-13 18:30:45;253.13
2023-01-13 18:45:45;253.63
2023-01-13 19:00:45;253.75
2023-01-13 19:15:45;254.28
2023-01-13 19:30:45;254.63
2023-01-13 19:45:45;254.34
2023-01-13 20:00:45;255.88
2023-01-13 20:15:45;255.53
2023-01-13 20:30:45;255.91
2023-01-13 20:45:45;255.53
2023-01-13 21:00:45;255.53
2023-01-13 21:15:45;254.28
2023-01-13 21:30:45;254.16
2023-01-13 21:45:45;255.31
2023-01-13 22:00:45;255.16
2023-01-13 22:15:45;255.44
2023-01-13 22:30:45;256.91
2023-01-13 22:45:45;256.16
2023-01-13 23:00:45;254.72
2023-01-13 23:15:45;256.06
2023-01-13 23:30:45;256.28
2023-01-13 23:45:45;255.47
2023-01-14 00:00:45;255.13
2023-01-14 00:15:45;256.53
2023-01-14 00:30:45;254.25
2023-01-14 00:45:45;255.38
2023-01-14 01:00:45;256.72
2023-01-14 01:15:45;255.06
2023-01-14 01:30:45;255.38
2023-01-14 01:45:45;255.97
2023-01-14 02:00:45;254.31
2023-01-14 02:15:45;256.5
2023-01-14 02:30:45;254.16
2023-01-14 02:45:45;256.16
2023-01-14 03:00:45;254.34
2023-01-14 03:15:45;255.31
2023-01-14 03:30:45;256.34
2023-01-14 03:45:45;254.06
2023-01-14 04:00:45;257.06
2023-01-14 04:15:45;253.16
2023-01-14 04:30:45;256.38
2023-01-14 04:45:45;254.06
2023-01-14 05:00:45;257.13
2023-01-14 05:15:45;255.16
2023-01-14 05:30:45;255.34
2023-01-14 05:45:45;257.0
2023-01-14 06:00:45;253.88
2023-01-14 06:15:45;256.56
2023-01-14 06:30:45;253.13
2023-01-14 06:45:45;256.38
2023-01-14 07:00:45;256.22
2023-01-14 07:15:45;255.94
2023-01-14 07:30:45;255.19
2023-01-14 07:45:45;253.31
2023-01-14 08:00:45;253.22
